date,home_team,away_team,home_confederation,away_confederation,home_elo_pre,away_elo_pre,city,country,neutral,tournament_weight,home_score,away_score,elo_diff
2000-03-25,Zambia,Botswana,Unknown,Unknown,1601.116395558924,1192.861569947012,Lusaka,Zambia,0,2,3.0,0.0,408.2548256119121
2000-03-27,Malaysia,North Korea,Unknown,Unknown,1392.793213892494,1558.3281029098705,Kuala Lumpur,Malaysia,0,3,1.0,1.0,-165.5348890173766
2000-03-27,Thailand,Taiwan,Unknown,Unknown,1579.8733304325428,1188.558950341238,Kuala Lumpur,Malaysia,1,3,2.0,0.0,391.3143800913049
2000-03-28,Colombia,Brazil,CONMEBOL,CONMEBOL,1729.0845875838509,2094.08609167938,Bogotá,Colombia,0,3,0.0,0.0,-365.00150409552907
2000-03-29,Malaysia,Thailand,Unknown,Unknown,1396.521592273179,1585.5809252070562,Kuala Lumpur,Malaysia,0,3,3.0,2.0,-189.05933293387716
2000-03-29,Uruguay,Bolivia,CONMEBOL,Unknown,1701.44590076265,1640.6483599127662,Montevideo,Uruguay,0,3,1.0,0.0,60.79754084988372
2000-03-29,Peru,Paraguay,Unknown,CONMEBOL,1696.867888512532,1786.0739477427162,Lima,Peru,0,3,2.0,0.0,-89.20605923018411
2000-03-29,Ecuador,Venezuela,CONMEBOL,Unknown,1657.4510833617414,1328.221044638822,Quito,Ecuador,0,3,2.0,0.0,329.2300387229195
2000-03-29,Argentina,Chile,CONMEBOL,Unknown,1908.3076281764495,1720.8640760078383,Buenos Aires,Argentina,0,3,4.0,1.0,187.44355216861118
2000-03-31,Syria,Bahrain,Unknown,Unknown,1533.7413239742766,1443.699104161086,Damascus,Syria,0,3,1.0,0.0,90.04221981319051
2000-03-31,Qatar,Palestine,AFC,Unknown,1578.1951507511903,1432.857393555333,Doha,Qatar,0,3,1.0,0.0,145.33775719585742
2000-03-31,Jordan,Kazakhstan,AFC,Unknown,1492.9132232269135,1560.0600177502142,Doha,Qatar,1,3,0.0,1.0,-67.14679452330074
2000-03-31,Maldives,Iran,Unknown,AFC,1144.0585714709275,1793.643204725059,Damascus,Syria,1,3,0.0,8.0,-649.5846332541314
2000-04-01,Aruba,Barbados,Unknown,Unknown,1258.4645159335173,1473.793653511651,Oranjestad,Aruba,0,3,1.0,3.0,-215.32913757813367
2000-04-01,Haiti,Bahamas,CONCACAF,Unknown,1529.1437656081366,1405.516424898391,Port-au-Prince,Haiti,0,3,9.0,0.0,123.62734070974557
2000-04-02,Qatar,Kazakhstan,AFC,Unknown,1586.0301531004886,1576.242153262005,Doha,Qatar,0,3,3.0,1.0,9.787999838483529
2000-04-02,Trinidad and Tobago,Dominican Republic,Unknown,Unknown,1652.529771546559,1397.6226198767563,Port of Spain,Trinidad and Tobago,0,3,3.0,0.0,254.90715166980272
2000-04-02,Panama,Honduras,CONCACAF,Unknown,1466.7238965568583,1708.103429561327,Panama City,Panama,0,3,1.0,0.0,-241.3795330044686
2000-04-02,Syria,Iran,Unknown,AFC,1543.7761743451165,1795.8489705752236,Damascus,Syria,0,3,0.0,1.0,-252.0727962301071
2000-04-02,Guatemala,El Salvador,Unknown,Unknown,1559.570927645547,1475.2072271384104,Guatemala City,Guatemala,0,3,0.0,1.0,84.36370050713663
2000-04-02,Cuba,Suriname,Unknown,Unknown,1589.358227315865,1434.4128606322377,Havana,Cuba,0,3,1.0,0.0,154.9453666836273
2000-04-02,Bahrain,Maldives,Unknown,Unknown,1433.664253790246,1141.8528056207629,Damascus,Syria,1,3,4.0,1.0,291.8114481694831
2000-04-02,Palestine,Pakistan,Unknown,Unknown,1425.0223912060346,1085.7151127785307,Doha,Qatar,1,3,2.0,0.0,339.3072784275039
2000-04-04,Bahrain,Iran,Unknown,AFC,1444.6627745665965,1807.6142358001184,Damascus,Syria,1,3,1.0,0.0,-362.95146123352197
2000-04-04,Malaysia,Taiwan,Unknown,Unknown,1421.5388486773918,1182.8513555667246,Bangkok,Thailand,1,3,2.0,3.0,238.68749311066722
2000-04-04,Palestine,Jordan,Unknown,AFC,1432.4746188633492,1476.7310877151226,Doha,Qatar,1,3,1.0,5.0,-44.256468851773434
2000-04-04,Qatar,Pakistan,AFC,Unknown,1606.853712803482,1078.2628851212162,Doha,Qatar,0,3,5.0,0.0,528.5908276822659
2000-04-04,Syria,Maldives,Unknown,Unknown,1532.0109091202214,1130.8542848444124,Damascus,Syria,0,3,6.0,0.0,401.156624275809
2000-04-04,Thailand,North Korea,Unknown,Unknown,1560.5636688028435,1554.5997245291856,Bangkok,Thailand,0,3,5.0,3.0,5.963944273657944
2000-04-05,Myanmar,Mongolia,Unknown,Unknown,1292.7170902081689,1360.8000107314035,Seoul,South Korea,1,3,2.0,0.0,-68.08292052323463
2000-04-05,South Korea,Laos,AFC,Unknown,1740.3464916342225,1182.0159112851702,Seoul,South Korea,0,3,9.0,0.0,558.3305803490523
2000-04-06,Thailand,Taiwan,Unknown,Unknown,1581.687528684312,1214.7723533803849,Bangkok,Thailand,0,3,1.0,0.0,366.9151753039271
2000-04-06,Pakistan,Jordan,Unknown,AFC,1076.1730264244693,1509.4799932797123,Doha,Qatar,1,3,0.0,5.0,-433.306966855243
2000-04-06,Kazakhstan,Palestine,Unknown,Unknown,1555.4185935590117,1399.7257132987593,Doha,Qatar,1,3,2.0,0.0,155.69288026025242
2000-04-06,Malaysia,North Korea,Unknown,Unknown,1389.6178508637315,1533.4758646477171,Bangkok,Thailand,1,3,1.0,4.0,-143.8580137839856
2000-04-07,Myanmar,Laos,Unknown,Unknown,1328.5217328071726,1179.805534444116,Seoul,South Korea,1,3,4.0,0.0,148.71619836305672
2000-04-07,Djibouti,DR Congo,Unknown,CAF,1254.5563016889505,1597.605394066766,Djibouti,Djibouti,0,3,1.0,1.0,-343.04909237781544
2000-04-07,South Korea,Mongolia,AFC,Unknown,1742.5568684752768,1324.9953681324,Seoul,South Korea,0,3,6.0,0.0,417.5615003428768
2000-04-07,Mauritania,Tunisia,Unknown,CAF,1298.451020684592,1680.428818155813,Nouakchott,Mauritania,0,3,1.0,2.0,-381.9777974712208
2000-04-08,Uganda,Guinea,Unknown,Unknown,1489.768357111711,1558.78377068086,Kampala,Uganda,0,3,4.0,4.0,-69.0154135691489
2000-04-08,Thailand,Malaysia,Unknown,Unknown,1584.2354608587204,1368.3347602426718,Bangkok,Thailand,0,3,3.0,2.0,215.90070061604865
2000-04-08,Tanzania,Ghana,Unknown,CAF,1382.674841521366,1572.8402833685743,Arusha,Tanzania,0,3,0.0,1.0,-190.16544184720829
2000-04-08,Seychelles,Namibia,Unknown,Unknown,1292.0756594909026,1422.630601219321,Victoria,Seychelles,0,3,1.0,1.0,-130.5549417284185
2000-04-08,São Tomé and Príncipe,Sierra Leone,Unknown,Unknown,1341.145737622493,1542.5675953093205,São Tomé,São Tomé and Príncipe,0,3,2.0,0.0,-201.42185768682748
2000-04-08,Pakistan,Kazakhstan,Unknown,Unknown,1070.0724141651597,1572.8080177703018,Doha,Qatar,1,3,0.0,4.0,-502.73560360514216
2000-04-08,Qatar,Jordan,AFC,AFC,1608.943571500229,1515.580605539022,Doha,Qatar,0,3,2.0,2.0,93.36296596120701
2000-04-08,Malawi,Kenya,Unknown,Unknown,1363.7435255310145,1555.0273907765786,Blantyre,Malawi,0,3,2.0,0.0,-191.28386524556413
2000-04-08,Madagascar,Gabon,Unknown,Unknown,1605.1593308079086,1535.4089529831435,Antananarivo,Madagascar,0,3,2.0,0.0,69.75037782476511
